Wavenumber(cm-1),Transmittance(%),Absorbance(A.U.)
1.655000000000000000e+02,9.680382385872957229e+01,2.014107487237618344e+00
1.660000000000000000e+02,9.675255373345584076e+01,2.014337563180252033e+00
1.665000000000000000e+02,9.670201951917397309e+01,2.014564456042386098e+00
1.670000000000000000e+02,9.665239989562294909e+01,2.014787357895269526e+00
1.675000000000000000e+02,9.660388988889575046e+01,2.015005385765976431e+00
1.680000000000000000e+02,9.655670039587158726e+01,2.015217583676551349e+00
1.685000000000000000e+02,9.651105716241077914e+01,2.015422927179249424e+00
1.690000000000000000e+02,9.646719913950286696e+01,2.015620330742003308e+00
1.695000000000000000e+02,9.642537615796658201e+01,2.015808658264248265e+00
1.700000000000000000e+02,9.638584588726553193e+01,2.015986736889465281e+00
1.705000000000000000e+02,9.634887007767829914e+01,2.016153374126397502e+00
1.710000000000000000e+02,9.631471012664788134e+01,2.016307378099274406e+00
1.715000000000000000e+02,9.628362205769131776e+01,2.016447580527457095e+00
1.720000000000000000e+02,9.625585105060753222e+01,2.016572861801186001e+00
1.725000000000000000e+02,9.623162571058718129e+01,2.016682177292516975e+00
1.730000000000000000e+02,9.621115230611371771e+01,2.016774583842804613e+00
1.735000000000000000e+02,9.619460923590997936e+01,2.016849265225143295e+00
1.740000000000000000e+02,9.618214199876663884e+01,2.016905555314966847e+00
1.745000000000000000e+02,9.617385893330629187e+01,2.016942957731397534e+00
1.750000000000000000e+02,9.616982796601084260e+01,2.016961160843562251e+00
1.755000000000000000e+02,9.617007455610497857e+01,2.016960047265820233e+00
1.760000000000000000e+02,9.617458095870574653e+01,2.016939697277120302e+00
1.765000000000000000e+02,9.618328684891288560e+01,2.016900385965109344e+00
1.770000000000000000e+02,9.619609126671117849e+01,2.016842574280130584e+00
1.775000000000000000e+02,9.621285576374496884e+01,2.016766894550217515e+00
1.780000000000000000e+02,9.623340856569451773e+01,2.016674131320550512e+00
1.785000000000000000e+02,9.625754951402896609e+01,2.016565198612135124e+00
1.790000000000000000e+02,9.628505552190237893e+01,2.016441114828001702e+00
1.795000000000000000e+02,9.631568627183614240e+01,2.016302976566839877e+00
1.800000000000000000e+02,9.634918989602763872e+01,2.016151932541107694e+00
1.805000000000000000e+02,9.638530841007083438e+01,2.015989158656152025e+00
1.810000000000000000e+02,9.642378271272367840e+01,2.015815835111482102e+00
1.815000000000000000e+02,9.646435701278572594e+01,2.015633126159972477e+00
1.820000000000000000e+02,9.650678259408704207e+01,2.015442162929045100e+00
1.825000000000000000e+02,9.655082087675931746e+01,2.015244029489647204e+00
1.830000000000000000e+02,9.659624577421325853e+01,2.015039752168628961e+00
1.835000000000000000e+02,9.664284537864863012e+01,2.014830291946716923e+00
1.840000000000000000e+02,9.669042303269263527e+01,2.014616539671176376e+00
1.845000000000000000e+02,9.673879786105096912e+01,2.014399313738507225e+00
1.850000000000000000e+02,9.678780484470398449e+01,2.014179359864129548e+00
1.855000000000000000e+02,9.683729452244145364e+01,2.013957352546990709e+00
1.860000000000000000e+02,9.688713240183633957e+01,2.013733897850728649e+00
1.865000000000000000e+02,9.693719815554092634e+01,2.013509537152695650e+00
1.870000000000000000e+02,9.698738467034314681e+01,2.013284751551886131e+00
1.875000000000000000e+02,9.703759700683971801e+01,2.013059966671483014e+00
1.880000000000000000e+02,9.708775131772151212e+01,2.012835557637502770e+00
1.885000000000000000e+02,9.713777376315077561e+01,2.012611854058969474e+00
1.890000000000000000e+02,9.718759945295684588e+01,2.012389144875337266e+00
1.895000000000000000e+02,9.723717143762898729e+01,2.012167682972432203e+00
1.900000000000000000e+02,9.728643976345024669e+01,2.011947689498506886e+00
1.905000000000000000e+02,9.733536060160302839e+01,2.011729357837126475e+00
1.910000000000000000e+02,9.738389545662445812e+01,2.011512857213828998e+00
1.915000000000000000e+02,9.743201045609838218e+01,2.011298335929283088e+00
1.920000000000000000e+02,9.747967572081833509e+01,2.011085924223602106e+00
1.925000000000000000e+02,9.752686481271196328e+01,2.010875736785176837e+00
1.930000000000000000e+02,9.757355425645877745e+01,2.010667874923411702e+00
1.935000000000000000e+02,9.761972312984242706e+01,2.010462428428648973e+00
1.940000000000000000e+02,9.766535271735261858e+01,2.010259477144821005e+00
1.945000000000000000e+02,9.771042622130248390e+01,2.010059092281363480e+00
1.950000000000000000e+02,9.775492852467888838e+01,2.009861337491033240e+00
