Wavenumber(cm-1),Absorbance(A.U.)
4.630000000000000000e+02,0.000000000000000000e+00
4.640000000000000000e+02,0.000000000000000000e+00
4.650000000000000000e+02,0.000000000000000000e+00
4.660000000000000000e+02,0.000000000000000000e+00
4.670000000000000000e+02,0.000000000000000000e+00
4.680000000000000000e+02,0.000000000000000000e+00
4.690000000000000000e+02,0.000000000000000000e+00
4.700000000000000000e+02,0.000000000000000000e+00
4.710000000000000000e+02,0.000000000000000000e+00
4.720000000000000000e+02,0.000000000000000000e+00
4.730000000000000000e+02,0.000000000000000000e+00
4.740000000000000000e+02,0.000000000000000000e+00
4.750000000000000000e+02,0.000000000000000000e+00
4.760000000000000000e+02,2.220446049250313081e-16
4.770000000000000000e+02,2.220446049250313081e-16
4.780000000000000000e+02,2.220446049250313081e-16
4.790000000000000000e+02,2.220446049250313081e-16
4.800000000000000000e+02,4.440892098500626162e-16
4.810000000000000000e+02,6.661338147750939243e-16
4.820000000000000000e+02,8.881784197001252323e-16
4.830000000000000000e+02,1.332267629550187849e-15
4.840000000000000000e+02,1.998401444325281773e-15
4.850000000000000000e+02,2.886579864025407005e-15
4.860000000000000000e+02,3.996802888650563546e-15
4.870000000000000000e+02,5.773159728050814010e-15
4.880000000000000000e+02,8.437694987151189707e-15
4.890000000000000000e+02,1.199040866595169064e-14
4.900000000000000000e+02,1.709743457922741072e-14
4.910000000000000000e+02,2.442490654175344389e-14
4.920000000000000000e+02,3.463895836830488406e-14
4.930000000000000000e+02,4.929390229335695039e-14
4.940000000000000000e+02,6.972200594645983074e-14
4.950000000000000000e+02,9.836575998178886948e-14
4.960000000000000000e+02,1.387778780781445676e-13
4.970000000000000000e+02,1.951772077291025198e-13
4.980000000000000000e+02,2.740030424774886342e-13
4.990000000000000000e+02,3.836930773104541004e-13
5.000000000000000000e+02,5.360156762890255777e-13
5.010000000000000000e+02,7.471800955727303517e-13
5.020000000000000000e+02,1.039168751049146522e-12
5.030000000000000000e+02,1.442401753593003377e-12
5.040000000000000000e+02,1.997513265905581648e-12
5.050000000000000000e+02,2.759792394613214128e-12
5.060000000000000000e+02,3.804956349995336495e-12
5.070000000000000000e+02,5.234035427292837994e-12
5.080000000000000000e+02,7.184031147744462942e-12
5.090000000000000000e+02,9.838574399623212230e-12
5.100000000000000000e+02,1.344391264979094558e-11
5.110000000000000000e+02,1.832978213656133448e-11
5.120000000000000000e+02,2.493560913308101590e-11
5.130000000000000000e+02,3.384714730714222242e-11
5.140000000000000000e+02,4.584155277598256362e-11
5.150000000000000000e+02,6.194822432803448464e-11
5.160000000000000000e+02,8.352873948069827748e-11
5.170000000000000000e+02,1.123765525079534200e-10
5.180000000000000000e+02,1.508522196047579200e-10
5.190000000000000000e+02,2.020514866529765641e-10
5.200000000000000000e+02,2.700273338263059486e-10
5.210000000000000000e+02,3.600706399708997196e-10
5.220000000000000000e+02,4.790745578020505491e-10
5.230000000000000000e+02,6.359941462363849496e-10
5.240000000000000000e+02,8.424383413085934080e-10
5.250000000000000000e+02,1.113417580356212966e-09
5.260000000000000000e+02,1.468293486794891578e-09
5.270000000000000000e+02,1.931979909386427607e-09
5.280000000000000000e+02,2.536455268042914213e-09
5.290000000000000000e+02,3.322666142224761643e-09
5.300000000000000000e+02,4.342912918176011772e-09
5.310000000000000000e+02,5.663832958191505895e-09
5.320000000000000000e+02,7.370121402061613480e-09
5.330000000000000000e+02,9.569158798683474743e-09
5.340000000000000000e+02,1.239674829456305361e-08
5.350000000000000000e+02,1.602421262347775155e-08
5.360000000000000000e+02,2.066714666071334250e-08
5.370000000000000000e+02,2.659617859279705954e-08
5.380000000000000000e+02,3.415016980312657324e-08
5.390000000000000000e+02,4.375235085340989372e-08
5.400000000000000000e+02,5.593000040882145640e-08
5.410000000000000000e+02,7.133836543715688094e-08
5.420000000000000000e+02,9.078965979014697041e-08
5.430000000000000000e+02,1.152881119459436832e-07
5.440000000000000000e+02,1.460721998913783182e-07
5.450000000000000000e+02,1.846653943093912176e-07
5.460000000000000000e+02,2.329369428455407842e-07
5.470000000000000000e+02,2.931744589318441285e-07
5.480000000000000000e+02,3.681703426572369153e-07
5.490000000000000000e+02,4.613243531625954574e-07
5.500000000000000000e+02,5.767649673416030964e-07
5.510000000000000000e+02,7.194925151221553961e-07
5.520000000000000000e+02,8.955474568583809969e-07
5.530000000000000000e+02,1.112207581144275537e-06
5.540000000000000000e+02,1.378218334124881039e-06
5.550000000000000000e+02,1.704060956120301284e-06
5.560000000000000000e+02,2.102263578107610442e-06
5.570000000000000000e+02,2.587760928207671896e-06
5.580000000000000000e+02,3.178308797924245255e-06
5.590000000000000000e+02,3.894959920147655907e-06
5.600000000000000000e+02,4.762608389663469666e-06
5.610000000000000000e+02,5.810610220091660949e-06
5.620000000000000000e+02,7.073488033970676270e-06
5.630000000000000000e+02,8.591728237972162674e-06
5.640000000000000000e+02,1.041267929213773868e-05
5.650000000000000000e+02,1.259155983079907060e-05
5.660000000000000000e+02,1.519258541371470983e-05
5.670000000000000000e+02,1.829022252697320994e-05
5.680000000000000000e+02,2.197057810415792289e-05
5.690000000000000000e+02,2.633293225340338495e-05
5.700000000000000000e+02,3.149142103220370359e-05
5.710000000000000000e+02,3.757687495009598422e-05
5.720000000000000000e+02,4.473881740363339077e-05
5.730000000000000000e+02,5.314762538133344094e-05
5.740000000000000000e+02,6.299685252342257513e-05
5.750000000000000000e+02,7.450571193312605089e-05
5.760000000000000000e+02,8.792171299809581342e-05
5.770000000000000000e+02,1.035234428821141250e-04
5.780000000000000000e+02,1.216234792684733890e-04
5.790000000000000000e+02,1.425714163953983871e-04
5.800000000000000000e+02,1.667569814236546932e-04
5.810000000000000000e+02,1.946132127510491472e-04
5.820000000000000000e+02,2.266196660762886950e-04
5.830000000000000000e+02,2.633056078846784942e-04
5.840000000000000000e+02,3.052531496303689806e-04
5.850000000000000000e+02,3.531002693559770478e-04
5.860000000000000000e+02,4.075436608867999411e-04
5.870000000000000000e+02,4.693413442289351423e-04
5.880000000000000000e+02,5.393149645074313270e-04
5.890000000000000000e+02,6.183517008664374259e-04
5.900000000000000000e+02,7.074057014093693141e-04
5.910000000000000000e+02,8.074989556230427468e-04
5.920000000000000000e+02,9.197215120471113892e-04
5.930000000000000000e+02,1.045230946372432967e-03
5.940000000000000000e+02,1.185250983876784403e-03
5.950000000000000000e+02,1.341069180355036750e-03
5.960000000000000000e+02,1.514033567588279894e-03
5.970000000000000000e+02,1.705548173149162849e-03
5.980000000000000000e+02,1.917067330052812935e-03
5.990000000000000000e+02,2.150088699577112905e-03
6.000000000000000000e+02,2.406144940577448210e-03
6.010000000000000000e+02,2.686793970859691072e-03
6.020000000000000000e+02,2.993607780686247111e-03
6.030000000000000000e+02,3.328159775241257279e-03
6.040000000000000000e+02,3.692010641845655528e-03
6.050000000000000000e+02,4.086692758760168687e-03
6.060000000000000000e+02,4.513693185450140533e-03
6.070000000000000000e+02,4.974435298995327770e-03
6.080000000000000000e+02,5.470259167741575723e-03
6.090000000000000000e+02,6.002400781010885922e-03
6.100000000000000000e+02,6.571970282456485180e-03
6.110000000000000000e+02,7.179929384128813652e-03
6.120000000000000000e+02,7.827068168136941395e-03
6.130000000000000000e+02,8.513981512556334508e-03
6.140000000000000000e+02,9.241045407500481090e-03
