Wavenumber(cm-1),Transmittance(%),Absorbance(A.U.)
4.720000000000000000e+02,9.285561386939805573e+01,2.032191834532712793e+00
4.730000000000000000e+02,9.295205763885068961e+01,2.031740991999584800e+00
4.740000000000000000e+02,9.304750880293552484e+01,2.031295249912274503e+00
4.750000000000000000e+02,9.314312336379781243e+01,2.030849202983499246e+00
4.760000000000000000e+02,9.324013627274197802e+01,2.030397100418978695e+00
4.770000000000000000e+02,9.333976850518065760e+01,2.029933280556576403e+00
4.780000000000000000e+02,9.344310917511521097e+01,2.029452719513235692e+00
4.790000000000000000e+02,9.355098742045673532e+01,2.028951624208946924e+00
4.800000000000000000e+02,9.366385579457707422e+01,2.028427967888124517e+00
4.810000000000000000e+02,9.378170884141056263e+01,2.027881858037417384e+00
4.820000000000000000e+02,9.390405535001890769e+01,2.027315651843528688e+00
4.830000000000000000e+02,9.402995127499619343e+01,2.026733788936731173e+00
4.840000000000000000e+02,9.415808625783812147e+01,2.026142377013675056e+00
4.850000000000000000e+02,9.428690515824339968e+01,2.025548619165246755e+00
4.860000000000000000e+02,9.441474078897820732e+01,2.024960194859426021e+00
4.870000000000000000e+02,9.453993593730753275e+01,2.024384696322117705e+00
4.880000000000000000e+02,9.466093968708632644e+01,2.023829188660643208e+00
4.890000000000000000e+02,9.477637167116762384e+01,2.023299921436918947e+00
4.900000000000000000e+02,9.488505527860374400e+01,2.022802185055742719e+00
4.910000000000000000e+02,9.498602551392015414e+01,2.022340284064976235e+00
4.920000000000000000e+02,9.507851904867604276e+01,2.021917591499988731e+00
4.930000000000000000e+02,9.516195374643784533e+01,2.021536650151094072e+00
4.940000000000000000e+02,9.523590353569699118e+01,2.021199293549643450e+00
4.950000000000000000e+02,9.530007274389087968e+01,2.020906767858438258e+00
4.960000000000000000e+02,9.535427238405333128e+01,2.020659843454360338e+00
4.970000000000000000e+02,9.539839962668617090e+01,2.020458910821365972e+00
4.980000000000000000e+02,9.543242083406730103e+01,2.020304059285810361e+00
4.990000000000000000e+02,9.545635802965756511e+01,2.020195139399859396e+00
5.000000000000000000e+02,9.547027843758864663e+01,2.020131810820119167e+00
5.010000000000000000e+02,9.547428667580798844e+01,2.020113577719427678e+00
5.020000000000000000e+02,9.546851925833674102e+01,2.020139813403679874e+00
5.030000000000000000e+02,9.545314121416009812e+01,2.020209775080383352e+00
5.040000000000000000e+02,9.542834483553157554e+01,2.020322608762612049e+00
5.050000000000000000e+02,9.539435080936348754e+01,2.020477343167644602e+00
5.060000000000000000e+02,9.535141224494982737e+01,2.020672870256708720e+00
5.070000000000000000e+02,9.529982236166759435e+01,2.020907908883388782e+00
5.080000000000000000e+02,9.523992678726989425e+01,2.021180947117398485e+00
5.090000000000000000e+02,9.517214144041123802e+01,2.021490158645976365e+00
5.100000000000000000e+02,9.509697666254282922e+01,2.021833289998928862e+00
5.110000000000000000e+02,9.501506737989224405e+01,2.022207519331447934e+00
5.120000000000000000e+02,9.492720732410153062e+01,2.022609295504661731e+00
5.130000000000000000e+02,9.483438249732692782e+01,2.023034179310759573e+00
5.140000000000000000e+02,9.473779523739159458e+01,2.023476726504583656e+00
5.150000000000000000e+02,9.463886625109103079e+01,2.023930471083468241e+00
5.160000000000000000e+02,9.453919977382952311e+01,2.024388078099118804e+00
5.170000000000000000e+02,9.444049952026291805e+01,2.024841724491234451e+00
5.180000000000000000e+02,9.434443303923806923e+01,2.025283721059927711e+00
5.190000000000000000e+02,9.425245947428879845e+01,2.025707308260889850e+00
5.200000000000000000e+02,9.416565531475009720e+01,2.026107466920827438e+00
5.210000000000000000e+02,9.408458441927001559e+01,2.026481529071041621e+00
5.220000000000000000e+02,9.400925288499230703e+01,2.026829398750008338e+00
5.230000000000000000e+02,9.393916511369019418e+01,2.027153303936978901e+00
5.240000000000000000e+02,9.387346517878594909e+01,2.027457150598513724e+00
5.250000000000000000e+02,9.381112329731095656e+01,2.027745663750622818e+00
5.260000000000000000e+02,9.375112133753452781e+01,2.028023529063804009e+00
5.270000000000000000e+02,9.369260272226290454e+01,2.028294696451821366e+00
5.280000000000000000e+02,9.363497128468981145e+01,2.028561918362364658e+00
5.290000000000000000e+02,9.357794050688359278e+01,2.028826517129928675e+00
5.300000000000000000e+02,9.352154389181927741e+01,2.029088332276463902e+00
5.310000000000000000e+02,9.346611904263058079e+01,2.029345789977043069e+00
5.320000000000000000e+02,9.341227519212770858e+01,2.029596049916408074e+00
5.330000000000000000e+02,9.336084957226781000e+01,2.029835204918243985e+00
5.340000000000000000e+02,9.331285432442696504e+01,2.030058525839391947e+00
5.350000000000000000e+02,9.326941371790624657e+01,2.030260753159719211e+00
5.360000000000000000e+02,9.323169153770056994e+01,2.030436436139287704e+00
5.370000000000000000e+02,9.320081034231655792e+01,2.030580311619552880e+00
5.380000000000000000e+02,9.317776718660532254e+01,2.030687700736421686e+00
5.390000000000000000e+02,9.316335335141579321e+01,2.030754887722098889e+00
5.400000000000000000e+02,9.315808749713843895e+01,2.030779435959224610e+00
5.410000000000000000e+02,9.316217153855365041e+01,2.030760396949081947e+00
5.420000000000000000e+02,9.317547607213569449e+01,2.030698379577897228e+00
5.430000000000000000e+02,9.319755781928535043e+01,2.030595467898213435e+00
5.440000000000000000e+02,9.322770642863191881e+01,2.030455000082939332e+00
5.450000000000000000e+02,9.326501353625253898e+01,2.030281242402804942e+00
5.460000000000000000e+02,9.330845436013142091e+01,2.030079004532076681e+00
5.470000000000000000e+02,9.335697174871673099e+01,2.029853244089420805e+00
5.480000000000000000e+02,9.340955417443130671e+01,2.029608700718241732e+00
5.490000000000000000e+02,9.346530178592473703e+01,2.029349587413301403e+00
5.500000000000000000e+02,9.352347729617235927e+01,2.029079354043987760e+00
5.510000000000000000e+02,9.358354039589220008e+01,2.028800528866908870e+00
5.520000000000000000e+02,9.364516517223013636e+01,2.028514639999629221e+00
5.530000000000000000e+02,9.370823977498689317e+01,2.028222219875552845e+00
5.540000000000000000e+02,9.377284680990091204e+01,2.027922899230712783e+00
